編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
3494,棋布星陳,ㄑㄧˊ　ㄅㄨˋ　ㄒㄧㄥ　ㄔㄣˊ,,,,,非主條成語
3495,甘伏下風,ㄍㄢ　ㄈㄨˊ　ㄒㄧㄚˋ　ㄈㄥ,,,,,非主條成語
3496,蒼狗白衣,ㄘㄤ　ㄍㄡˇ　ㄅㄞˊ　ㄧ,,,,,非主條成語
3497,如山如海,ㄖㄨˊ　ㄕㄢ　ㄖㄨˊ　ㄏㄞˇ,,,,,非主條成語
3498,如魚在水,ㄖㄨˊ　ㄩˊ　ㄗㄞˋ　ㄕㄨㄟˇ,,,,,非主條成語
3499,老儒常語,ㄌㄠˇ　ㄖㄨˊ　ㄔㄤˊ　ㄩˇ,,,,,非主條成語
3500,如坐針氈,ㄖㄨˊ　ㄗㄨㄛˋ　ㄓㄣ　ㄓㄢ,比喻身心痛苦，惶恐難安。,坐立不安、芒刺在背、惴惴不安,心安神泰、行若無事、若無其事、氣定神閒、泰然自若,坐若針氈、日坐針氈,主條成語
3501,娛目賞心,ㄩˊ　ㄇㄨˋ　ㄕㄤˇ　ㄒㄧㄣ,,,,,非主條成語
3502,獨開生面,ㄉㄨˊ　ㄎㄞ　ㄕㄥ　ㄇㄧㄢˋ,,,,,非主條成語
3503,相憐同病,ㄒㄧㄤ　ㄌㄧㄢˊ　ㄊㄨㄥˊ　ㄅㄧㄥˋ,,,,,非主條成語
3504,相關休戚,ㄒㄧㄤ　ㄍㄨㄢ　ㄒㄧㄡ　ㄑㄧ,,,,,非主條成語
3505,幄中運籌,ㄨㄛˋ　ㄓㄨㄥ　ㄩㄣˋ　ㄔㄡˊ,,,,,非主條成語
3506,世俗炎涼,ㄕˋ　ㄙㄨˊ　ㄧㄢˊ　ㄌㄧㄤˊ,,,,,非主條成語
3507,狗尾聯貂,ㄍㄡˇ　ㄨㄟˇ　ㄌㄧㄢˊ　ㄉㄧㄠ,,,,,非主條成語
3508,加體黃袍,ㄐㄧㄚ　ㄊㄧˇ　ㄏㄨㄤˊ　ㄆㄠˊ,,,,,非主條成語
3509,起死回骸,ㄑㄧˇ　ㄙˇ　ㄏㄨㄟˊ　ㄏㄞˊ,,,,,非主條成語
3510,邯鄲步,ㄏㄢˊ　ㄉㄢ　ㄅㄨˋ,,,,,非主條成語
3511,根盤節錯,ㄍㄣ　ㄆㄢˊ　ㄐㄧㄝˊ　ㄘㄨㄛˋ,,,,,非主條成語
3512,權宜之術,ㄑㄩㄢˊ　ㄧˊ　ㄓ　ㄕㄨˋ,,,,,非主條成語
3513,極重難返,ㄐㄧˊ　ㄓㄨㄥˋ　ㄋㄢˊ　ㄈㄢˇ,,,,,非主條成語
3514,棒喝當頭,ㄅㄤˋ　ㄏㄜˋ　ㄉㄤ　ㄊㄡˊ,,,,,非主條成語
3515,格格不納,ㄍㄜˊ　ㄍㄜˊ　ㄅㄨˋ　ㄋㄚˋ　（變）　ㄍㄜˊ　ㄍㄜˊ　ㄅㄨˊ　ㄋㄚˋ,,,,,非主條成語
3516,輕描淡染,ㄑㄧㄥ　ㄇㄧㄠˊ　ㄉㄢˋ　ㄖㄢˇ,,,,,非主條成語
3517,邯鄲一枕,ㄏㄢˊ　ㄉㄢ　ㄧ　ㄓㄣˇ　（變）　ㄏㄢˊ　ㄉㄢ　ㄧˋ　ㄓㄣˇ,,,,,非主條成語
3518,超倫軼群,ㄔㄠ　ㄌㄨㄣˊ　ㄧˋ　ㄑㄩㄣˊ,,,,,非主條成語
3519,好利忘義,ㄏㄠˋ　ㄌㄧˋ　ㄨㄤˋ　ㄧˋ,,,,,非主條成語
3520,故步不離,ㄍㄨˋ　ㄅㄨˋ　ㄅㄨˋ　ㄌㄧˊ,,,,,非主條成語
3521,故我依然,ㄍㄨˋ　ㄨㄛˇ　ㄧ　ㄖㄢˊ,,,,,非主條成語
3522,切骨銘心,ㄑㄧㄝˋ　ㄍㄨˇ　ㄇㄧㄥˊ　ㄒㄧㄣ,,,,,非主條成語
3523,故態復還,ㄍㄨˋ　ㄊㄞˋ　ㄈㄨˋ　ㄏㄨㄢˊ,,,,,非主條成語
3524,胡為亂做,ㄏㄨˊ　ㄨㄟˊ　ㄌㄨㄢˋ　ㄗㄨㄛˋ,,,,,非主條成語
3525,起東山,ㄑㄧˇ　ㄉㄨㄥ　ㄕㄢ,,,,,非主條成語
3526,老馬知道,ㄌㄠˇ　ㄇㄚˇ　ㄓ　ㄉㄠˋ,,,,,非主條成語
3527,趨其所好,ㄑㄩ　ㄑㄧˊ　ㄙㄨㄛˇ　ㄏㄠˋ,,,,,非主條成語
3528,松枯石爛,ㄙㄨㄥ　ㄎㄨ　ㄕˊ　ㄌㄢˋ,,,,,非主條成語
3529,趨炎附灶,ㄑㄩ　ㄧㄢˊ　ㄈㄨˋ　ㄗㄠˋ,,,,,非主條成語
3530,好事多阻,ㄏㄠˇ　ㄕˋ　ㄉㄨㄛ　ㄗㄨˇ,,,,,非主條成語
3531,好道安貧,ㄏㄠˋ　ㄉㄠˋ　ㄢ　ㄆㄧㄣˊ,,,,,非主條成語
3532,事不兩立,ㄕˋ　ㄅㄨˋ　ㄌㄧㄤˇ　ㄌㄧˋ,,,,,非主條成語
3533,事事無成,ㄕˋ　ㄕˋ　ㄨˊ　ㄔㄥˊ,,,,,非主條成語
3534,推己況人,ㄊㄨㄟ　ㄐㄧˇ　ㄎㄨㄤˋ　ㄖㄣˊ,,,,,非主條成語
3535,事過情遷,ㄕˋ　ㄍㄨㄛˋ　ㄑㄧㄥˊ　ㄑㄧㄢ,,,,,非主條成語
3536,事與志違,ㄕˋ　ㄩˇ　ㄓˋ　ㄨㄟˊ,,,,,非主條成語
3537,撞騙招搖,ㄓㄨㄤˋ　ㄆㄧㄢˋ　ㄓㄠ　ㄧㄠˊ,,,,,非主條成語
3538,拉枯折朽,ㄌㄚ　ㄎㄨ　ㄓㄜˊ　ㄒㄧㄡˇ,,,,,非主條成語
3539,韋編屢絕,ㄨㄟˊ　ㄅㄧㄢ　ㄌㄩˇ　ㄐㄩㄝˊ,,,,,非主條成語
3540,摘句搜章,ㄓㄞ　ㄐㄩˋ　ㄙㄡ　ㄓㄤ,,,,,非主條成語
3541,故態復作,ㄍㄨˋ　ㄊㄞˋ　ㄈㄨˋ　ㄗㄨㄛˋ,,,,,非主條成語
3542,接踵摩肩,ㄐㄧㄝ　ㄓㄨㄥˇ　ㄇㄛˊ　ㄐㄧㄢ,,,,,非主條成語
3543,接木移花,ㄐㄧㄝ　ㄇㄨˋ　ㄧˊ　ㄏㄨㄚ,,,,,非主條成語
3544,接天烽火,ㄐㄧㄝ　ㄊㄧㄢ　ㄈㄥ　ㄏㄨㄛˇ,,,,,非主條成語
3545,輪奐之美,ㄌㄨㄣˊ　ㄏㄨㄢˋ　ㄓ　ㄇㄟˇ,,,,,非主條成語
3546,青黃未接,ㄑㄧㄥ　ㄏㄨㄤˊ　ㄨㄟˋ　ㄐㄧㄝ,,,,,非主條成語
3547,青雲平步,ㄑㄧㄥ　ㄩㄣˊ　ㄆㄧㄥˊ　ㄅㄨˋ,,,,,非主條成語
3548,青雲平地,ㄑㄧㄥ　ㄩㄣˊ　ㄆㄧㄥˊ　ㄉㄧˋ,,,,,非主條成語
3549,肅然生敬,ㄙㄨˋ　ㄖㄢˊ　ㄕㄥ　ㄐㄧㄥˋ,,,,,非主條成語
3550,肅襟危坐,ㄙㄨˋ　ㄐㄧㄣ　ㄨㄟˊ　ㄗㄨㄛˋ,,,,,非主條成語
3551,專思致慮,ㄓㄨㄢ　ㄙ　ㄓˋ　ㄌㄩˋ,,,,,非主條成語
3552,專當一面,ㄓㄨㄢ　ㄉㄤ　ㄧ　ㄇㄧㄢˋ　（變）　ㄓㄨㄢ　ㄉㄤ　ㄧˊ　　ㄇㄧㄢˋ,,,,,非主條成語
3553,專愎自用,ㄓㄨㄢ　ㄅㄧˋ　ㄗˋ　ㄩㄥˋ,,,,,非主條成語
3554,患得失,ㄏㄨㄢˋ　ㄉㄜˊ　ㄕ,,,,,非主條成語
3555,青黃不交,ㄑㄧㄥ　ㄏㄨㄤˊ　ㄅㄨˋ　ㄐㄧㄠ,,,,,非主條成語
3556,趁水推舟,ㄔㄣˋ　ㄕㄨㄟˇ　ㄊㄨㄟ　ㄓㄡ,,,,,非主條成語
3557,妙算神謀,ㄇㄧㄠˋ　ㄙㄨㄢˋ　ㄕㄣˊ　ㄇㄡˊ,,,,,非主條成語
3558,肅然增敬,ㄙㄨˋ　ㄖㄢˊ　ㄗㄥ　ㄐㄧㄥˋ,,,,,非主條成語
3559,春暉寸草,ㄔㄨㄣ　ㄏㄨㄟ　ㄘㄨㄣˋ　ㄘㄠˇ,,,,,非主條成語
3560,春夢一場,ㄔㄨㄣ　ㄇㄥˋ　ㄧ　ㄔㄤˇ　（變）　ㄔㄨㄣ　ㄇㄥˋ　ㄧˋ　ㄔㄤˇ,,,,,非主條成語
3561,囊橐如洗,ㄋㄤˊ　ㄊㄨㄛˊ　ㄖㄨˊ　ㄒㄧˇ,,,,,非主條成語
3562,囊羞澀,ㄋㄤˊ　ㄒㄧㄡ　ㄙㄜˋ,,,,,非主條成語
3563,豐衣美食,ㄈㄥ　ㄧ　ㄇㄟˇ　ㄕˊ,,,,,非主條成語
3564,排難解急,ㄆㄞˊ　ㄋㄢˋ　ㄐㄧㄝˇ　ㄐㄧˊ,,,,,非主條成語
3565,泰去否來,ㄊㄞˋ　ㄑㄩˋ　ㄆㄧˇ　ㄌㄞˊ,,,,,非主條成語
3566,來龍結脈,ㄌㄞˊ　ㄌㄨㄥˊ　ㄐㄧㄝˊ　ㄇㄞˋ,,,,,非主條成語
3567,束置高閣,ㄕㄨˋ　ㄓˋ　ㄍㄠ　ㄍㄜˊ,,,,,非主條成語
3568,末節繁文,ㄇㄛˋ　ㄐㄧㄝˊ　ㄈㄢˊ　ㄨㄣˊ,,,,,非主條成語
3569,束手無謀,ㄕㄨˋ　ㄕㄡˇ　ㄨˊ　ㄇㄡˊ,,,,,非主條成語
3570,束高閣,ㄕㄨˋ　ㄍㄠ　ㄍㄜˊ,,,,,非主條成語
3571,朝楚暮秦,ㄓㄠ　ㄔㄨˇ　ㄇㄨˋ　ㄑㄧㄣˊ,,,,,非主條成語
3572,援經據典,ㄩㄢˊ　ㄐㄧㄥ　ㄐㄩˋ　ㄉㄧㄢˇ,,,,,非主條成語
3573,指日而致,ㄓˇ　ㄖˋ　ㄦˊ　ㄓˋ,,,,,非主條成語
3574,指日可期,ㄓˇ　ㄖˋ　ㄎㄜˇ　ㄑㄧˊ,,,,,非主條成語
3575,書生常談,ㄕㄨ　ㄕㄥ　ㄔㄤˊ　ㄊㄢˊ,,,,,非主條成語
3576,未能枚舉,ㄨㄟˋ　ㄋㄥˊ　ㄇㄟˊ　ㄐㄩˇ,,,,,非主條成語
3577,未辨菽麥,ㄨㄟˋ　ㄅㄧㄢˋ　ㄕㄨˊ　ㄇㄞˋ,,,,,非主條成語
3578,按軍不動,ㄢˋ　ㄐㄩㄣ　ㄅㄨˋ　ㄉㄨㄥˋ　（變）　ㄢˋ　ㄐㄩㄣ　ㄅㄨˊ　ㄉㄨㄥˋ,,,,,非主條成語
3579,按甲不動,ㄢˋ　ㄐㄧㄚˇ　ㄅㄨˋ　ㄉㄨㄥˋ　（變）　ㄢˋ　ㄐㄧㄚˇ　ㄅㄨˊ　ㄉㄨㄥˋ,,,,,非主條成語
3580,拔刃張弩,ㄅㄚˊ　ㄖㄣˋ　ㄓㄤ　ㄋㄨˇ,,,,,非主條成語
3581,拔群出萃,ㄅㄚˊ　ㄑㄩㄣˊ　ㄔㄨ　ㄘㄨㄟˋ,,,,,非主條成語
3582,貴手高抬,ㄍㄨㄟˋ　ㄕㄡˇ　ㄍㄠ　ㄊㄞˊ,,,,,非主條成語
3583,護疾忌醫,ㄏㄨˋ　ㄐㄧˊ　ㄐㄧˋ　ㄧ,,,,,非主條成語
3584,蟠龍踞虎,ㄆㄢˊ　ㄌㄨㄥˊ　ㄐㄩˋ　ㄏㄨˇ,,,,,非主條成語
3585,未知適從,ㄨㄟˋ　ㄓ　ㄕˋ　ㄘㄨㄥˊ,,,,,非主條成語
3586,盛氣加人,ㄕㄥˋ　ㄑㄧˋ　ㄐㄧㄚ　ㄖㄣˊ,,,,,非主條成語
3587,責備求全,ㄗㄜˊ　ㄅㄟˋ　ㄑㄧㄡˊ　ㄑㄩㄢˊ,,,,,非主條成語
3588,挺鹿走險,ㄊㄧㄥˇ　ㄌㄨˋ　ㄗㄡˇ　ㄒㄧㄢˇ,,,,,非主條成語
3589,拊心泣血,ㄈㄨˇ　ㄒㄧㄣ　ㄑㄧˋ　ㄒㄧㄝˇ,,,,,非主條成語
3590,掩過揚善,ㄧㄢˇ　ㄍㄨㄛˋ　ㄧㄤˊ　ㄕㄢˋ,,,,,非主條成語
3591,掩耳盜鐘,ㄧㄢˇ　ㄦˇ　ㄉㄠˋ　ㄓㄨㄥ,,,,,非主條成語
3592,掩月羞花,ㄧㄢˇ　ㄩㄝˋ　ㄒㄧㄡ　ㄏㄨㄚ,,,,,非主條成語
3593,掩前絕後,ㄧㄢˇ　ㄑㄧㄢˊ　ㄐㄩㄝˊ　ㄏㄡˋ,,,,,非主條成語
3594,持重老成,ㄔˊ　ㄓㄨㄥˋ　ㄌㄠˇ　ㄔㄥˊ,,,,,非主條成語
3595,持管窺天,ㄔˊ　ㄍㄨㄢˇ　ㄎㄨㄟ　ㄊㄧㄢ,,,,,非主條成語
3596,指日可俟,ㄓˇ　ㄖˋ　ㄎㄜˇ　ㄙˋ,,,,,非主條成語
3597,披毛求瑕,ㄆㄧ　ㄇㄠˊ　ㄑㄧㄡˊ　ㄒㄧㄚˊ,,,,,非主條成語
3598,披荊棘,ㄆㄧ　ㄐㄧㄥ　ㄐㄧˊ,,,,,非主條成語
3599,措心積慮,ㄘㄨㄛˋ　ㄒㄧㄣ　ㄐㄧ　ㄌㄩˋ,,,,,非主條成語
3600,披肝瀝血,ㄆㄧ　ㄍㄢ　ㄌㄧˋ　ㄒㄧㄝˇ,,,,,非主條成語
3601,拱手無措,ㄍㄨㄥˇ　ㄕㄡˇ　ㄨˊ　ㄘㄨㄛˋ,,,,,非主條成語
3602,攢花簇錦,ㄘㄨㄢˊ　ㄏㄨㄚ　ㄘㄨˋ　ㄐㄧㄣˇ,,,,,非主條成語
3603,井中蛙,ㄐㄧㄥˇ　ㄓㄨㄥ　ㄨㄚ,,,,,非主條成語
3604,井井有方,ㄐㄧㄥˇ　ㄐㄧㄥˇ　ㄧㄡˇ　ㄈㄤ,,,,,非主條成語
3605,執迷不改,ㄓˊ　ㄇㄧˊ　ㄅㄨˋ　ㄍㄞˇ,,,,,非主條成語
3606,執迷不化,ㄓˊ　ㄇㄧˊ　ㄅㄨˋ　ㄏㄨㄚˋ　（變）　ㄓˊ　ㄇㄧˊ　ㄅㄨˊ　ㄏㄨㄚˋ,,,,,非主條成語
3607,井井不亂,ㄐㄧㄥˇ　ㄐㄧㄥˇ　ㄅㄨˋ　ㄌㄨㄢˋ　（變）　ㄐㄧㄥˇ　ㄐㄧㄥˇ　ㄅㄨˊ　ㄌㄨㄢˋ,,,,,非主條成語
3608,執迷不省,ㄓˊ　ㄇㄧˊ　ㄅㄨˋ　ㄒㄧㄥˇ,,,,,非主條成語
3609,費半功倍,ㄈㄟˋ　ㄅㄢˋ　ㄍㄨㄥ　ㄅㄟˋ,,,,,非主條成語
3610,勢極必反,ㄕˋ　ㄐㄧˊ　ㄅㄧˋ　ㄈㄢˇ,,,,,非主條成語
3611,抱獨守殘,ㄅㄠˋ　ㄉㄨˊ　ㄕㄡˇ　ㄘㄢˊ,,,,,非主條成語
3612,勢不可遏,ㄕˋ　ㄅㄨˋ　ㄎㄜˇ　ㄜˋ,,,,,非主條成語
3613,搖搖欲墮,ㄧㄠˊ　ㄧㄠˊ　ㄩˋ　ㄉㄨㄛˋ,,,,,非主條成語
3614,揚旗吶喊,ㄧㄤˊ　ㄑㄧˊ　ㄋㄚˋ　ㄏㄢˇ,,,,,非主條成語
3615,揚眉伸氣,ㄧㄤˊ　ㄇㄟˊ　ㄕㄣ　ㄑㄧˋ,,,,,非主條成語
3616,捷徑終南,ㄐㄧㄝˊ　ㄐㄧㄥˋ　ㄓㄨㄥ　ㄋㄢˊ,,,,,非主條成語
3617,勢如劈竹,ㄕˋ　ㄖㄨˊ　ㄆㄧ　ㄓㄨˊ,,,,,非主條成語
3618,抱才不遇,ㄅㄠˋ　ㄘㄞˊ　ㄅㄨˋ　ㄩˋ　（變）　ㄅㄠˋ　ㄘㄞˊ　ㄅㄨˊ　ㄩˋ,,,,,非主條成語
3619,熱可炙手,ㄖㄜˋ　ㄎㄜˇ　ㄓˋ　ㄕㄡˇ,,,,,非主條成語
3620,投其所喜,ㄊㄡˊ　ㄑㄧˊ　ㄙㄨㄛˇ　ㄒㄧˇ,,,,,非主條成語
3621,勢不可抑,ㄕˋ　ㄅㄨˋ　ㄎㄜˇ　ㄧˋ,,,,,非主條成語
3622,握綱提領,ㄨㄛˋ　ㄍㄤ　ㄊㄧˊ　ㄌㄧㄥˇ,,,,,非主條成語
3623,報李投桃,ㄅㄠˋ　ㄌㄧˇ　ㄊㄡˊ　ㄊㄠˊ,,,,,非主條成語
3624,慧中秀外,ㄏㄨㄟˋ　ㄓㄨㄥ　ㄒㄧㄡˋ　ㄨㄞˋ,,,,,非主條成語
3625,搜索空腹,ㄙㄡ　ㄙㄨㄛˇ　ㄎㄨㄥ　ㄈㄨˋ,,,,,非主條成語
3626,搜枯腸,ㄙㄡ　ㄎㄨ　ㄔㄤˊ,,,,,非主條成語
3627,勢可炙手,ㄕˋ　ㄎㄜˇ　ㄓˋ　ㄕㄡˇ,,,,,非主條成語
3628,搜腸刮肚,ㄙㄡ　ㄔㄤˊ　ㄍㄨㄚ　ㄉㄨˋ,,,,,非主條成語
3629,搜剔枯腸,ㄙㄡ　ㄊㄧˋ　ㄎㄨ　ㄔㄤˊ,,,,,非主條成語
3630,擇輕避重,ㄗㄜˊ　ㄑㄧㄥ　ㄅㄧˋ　ㄓㄨㄥˋ,,,,,非主條成語
3631,熱腸古道,ㄖㄜˋ　ㄔㄤˊ　ㄍㄨˇ　ㄉㄠˋ,,,,,非主條成語
3632,摸象眾盲,ㄇㄛ　ㄒㄧㄤˋ　ㄓㄨㄥˋ　ㄇㄤˊ,,,,,非主條成語
3633,據經引傳,ㄐㄩˋ　ㄐㄧㄥ　ㄧㄣˇ　ㄓㄨㄢˋ,,,,,非主條成語
3634,探湯赴火,ㄊㄢˋ　ㄊㄤ　ㄈㄨˋ　ㄏㄨㄛˇ,,,,,非主條成語
3635,換柳移花,ㄏㄨㄢˋ　ㄌㄧㄡˇ　ㄧˊ　ㄏㄨㄚ,,,,,非主條成語
3636,靜氣平心,ㄐㄧㄥˋ　ㄑㄧˋ　ㄆㄧㄥˊ　ㄒㄧㄣ,,,,,非主條成語
3637,挈領提綱,ㄑㄧㄝˋ　ㄌㄧㄥˇ　ㄊㄧˊ　ㄍㄤ,,,,,非主條成語
3638,契船求劍,ㄑㄧˋ　ㄔㄨㄢˊ　ㄑㄧㄡˊ　ㄐㄧㄢˋ,,,,,非主條成語
3639,拾人牙後,ㄕˊ　ㄖㄣˊ　ㄧㄚˊ　ㄏㄡˋ,,,,,非主條成語
3640,螳螂黃雀,ㄊㄤˊ　ㄌㄤˊ　ㄏㄨㄤˊ　ㄑㄩㄝˋ,,,,,非主條成語
3641,投珠報玉,ㄊㄡˊ　ㄓㄨ　ㄅㄠˋ　ㄩˋ,,,,,非主條成語
3642,口乳未乾,ㄎㄡˇ　ㄖㄨˇ　ㄨㄟˋ　ㄍㄢ,,,,,非主條成語
3643,口伐舌擊,ㄎㄡˇ　ㄈㄚ　ㄕㄜˊ　ㄐㄧˊ,,,,,非主條成語
3644,投礫引珠,ㄊㄡˊ　ㄌㄧˋ　ㄧㄣˇ　ㄓㄨ,,,,,非主條成語
3645,口呆目瞪,ㄎㄡˇ　ㄉㄞ　ㄇㄨˋ　ㄉㄥˋ,,,,,非主條成語
3646,捷足先占,ㄐㄧㄝˊ　ㄗㄨˊ　ㄒㄧㄢ　ㄓㄢˋ,,,,,非主條成語
3647,置腹推心,ㄓˋ　ㄈㄨˋ　ㄊㄨㄟ　ㄒㄧㄣ,,,,,非主條成語
3648,置若勿聞,ㄓˋ　ㄖㄨㄛˋ　ㄨˋ　ㄨㄣˊ,,,,,非主條成語
3649,投刃皆虛,ㄊㄡˊ　ㄖㄣˋ　ㄐㄧㄝ　ㄒㄩ,,,,,非主條成語
3650,國豔天香,ㄍㄨㄛˊ　ㄧㄢˋ　ㄊㄧㄢ　ㄒㄧㄤ,,,,,非主條成語
3651,置之身外,ㄓˋ　ㄓ　ㄕㄣ　ㄨㄞˋ,,,,,非主條成語
3652,墨守舊法,ㄇㄛˋ　ㄕㄡˇ　ㄐㄧㄡˋ　ㄈㄚˇ,,,,,非主條成語
3653,目睜口開,ㄇㄨˋ　ㄓㄥ　ㄎㄡˇ　ㄎㄞ,,,,,非主條成語
3654,罪逆不道,ㄗㄨㄟˋ　ㄋㄧˋ　ㄅㄨˋ　ㄉㄠˋ　（變）　ㄗㄨㄟˋ　ㄋㄧˋ　ㄅㄨˊ　ㄉㄠˋ,,,,,非主條成語
3655,星移斗換,ㄒㄧㄥ　ㄧˊ　ㄉㄡˇ　ㄏㄨㄢˋ,,,,,非主條成語
3656,踣不復振,ㄅㄛˊ　ㄅㄨˋ　ㄈㄨˋ　ㄓㄣˋ　（變）　ㄅㄛˊ　ㄅㄨˊ　ㄈㄨˋ　ㄓㄣˋ,,,,,非主條成語
3657,目瞪口噤,ㄇㄨˋ　ㄉㄥˋ　ㄎㄡˇ　ㄐㄧㄣˋ,,,,,非主條成語
3658,星火急,ㄒㄧㄥ　ㄏㄨㄛˇ　ㄐㄧˊ,,,,,非主條成語
3659,晨鐘暮磬,ㄔㄣˊ　ㄓㄨㄥ　ㄇㄨˋ　ㄑㄧㄥˋ,,,,,非主條成語
3660,日三秋,ㄖˋ　ㄙㄢ　ㄑㄧㄡ,,,,,非主條成語
3661,罪不容宥,ㄗㄨㄟˋ　ㄅㄨˋ　ㄖㄨㄥˊ　ㄧㄡˋ,,,,,非主條成語
3662,目不定睫,ㄇㄨˋ　ㄅㄨˋ　ㄉㄧㄥˋ　ㄐㄧㄝˊ　（變）　ㄇㄨˋ　ㄅㄨˊ　ㄉㄧㄥˋ　ㄐㄧㄝˊ,,,,,非主條成語
3663,日薄西隅,ㄖˋ　ㄅㄛˊ　ㄒㄧ　ㄩˊ,,,,,非主條成語
3664,罪不容恕,ㄗㄨㄟˋ　ㄅㄨˋ　ㄖㄨㄥˊ　ㄕㄨˋ,,,,,非主條成語
3665,罪豈容誅,ㄗㄨㄟˋ　ㄑㄧˇ　ㄖㄨㄥˊ　ㄓㄨ,,,,,非主條成語
3666,罪惡貫盈,ㄗㄨㄟˋ　ㄜˋ　ㄍㄨㄢˋ　ㄧㄥˊ,,,,,非主條成語
3667,羅雀門庭,ㄌㄨㄛˊ　ㄑㄩㄝˋ　ㄇㄣˊ　ㄊㄧㄥˊ,,,,,非主條成語
3668,回心易慮,ㄏㄨㄟˊ　ㄒㄧㄣ　ㄧˋ　ㄌㄩˋ,,,,,非主條成語
3669,回春妙手,ㄏㄨㄟˊ　ㄔㄨㄣ　ㄇㄧㄠˋ　ㄕㄡˇ,,,,,非主條成語
3670,回骸起死,ㄏㄨㄟˊ　ㄏㄞˊ　ㄑㄧˇ　ㄙˇ,,,,,非主條成語
3671,暗器傷人,ㄢˋ　ㄑㄧˋ　ㄕㄤ　ㄖㄣˊ,,,,,非主條成語
3672,因名思義,ㄧㄣ　ㄇㄧㄥˊ　ㄙ　ㄧˋ,,,,,非主條成語
3673,足踏實地,ㄗㄨˊ　ㄊㄚˋ　ㄕˊ　ㄉㄧˋ,,,,,非主條成語
3674,足履實地,ㄗㄨˊ　ㄌㄩˇ　ㄕˊ　ㄉㄧˋ,,,,,非主條成語
3675,因勢順導,ㄧㄣ　ㄕˋ　ㄕㄨㄣˋ　ㄉㄠˇ,,,,,非主條成語
3676,因變制宜,ㄧㄣ　ㄅㄧㄢˋ　ㄓˋ　ㄧˊ,,,,,非主條成語
3677,因陋就寡,ㄧㄣ　ㄌㄡˋ　ㄐㄧㄡˋ　ㄍㄨㄚˇ,,,,,非主條成語
3678,因陋就隘,ㄧㄣ　ㄌㄡˋ　ㄐㄧㄡˋ　ㄞˋ,,,,,非主條成語
3679,足蹈手舞,ㄗㄨˊ　ㄉㄠˋ　ㄕㄡˇ　ㄨˇ,,,,,非主條成語
3680,易於反手,ㄧˋ　ㄩˊ　ㄈㄢˇ　ㄕㄡˇ,,,,,非主條成語
3681,因病發藥,ㄧㄣ　ㄅㄧㄥˋ　ㄈㄚ　ㄧㄠˋ,,,,,非主條成語
3682,暴天物,ㄅㄠˋ　ㄊㄧㄢ　ㄨˋ,,,,,非主條成語
3683,固壁清野,ㄍㄨˋ　ㄅㄧˋ　ㄑㄧㄥ　ㄧㄝˇ,,,,,非主條成語
3684,趾昂氣粗,ㄓˇ　ㄤˊ　ㄑㄧˋ　ㄘㄨ,,,,,非主條成語
3685,另眼看承,ㄌㄧㄥˋ　ㄧㄢˇ　ㄎㄢˋ　ㄔㄥˊ,,,,,非主條成語
3686,躍躍紙上,ㄩㄝˋ　ㄩㄝˋ　ㄓˇ　ㄕㄤˋ,,,,,非主條成語
3687,睡多夢長,ㄕㄨㄟˋ　ㄉㄨㄛ　ㄇㄥˋ　ㄔㄤˊ,,,,,非主條成語
3688,別啟生面,ㄅㄧㄝˊ　ㄑㄧˇ　ㄕㄥ　ㄇㄧㄢˋ,,,,,非主條成語
3689,別有天,ㄅㄧㄝˊ　ㄧㄡˇ　ㄊㄧㄢ,,,,,非主條成語
3690,別有千秋,ㄅㄧㄝˊ　ㄧㄡˇ　ㄑㄧㄢ　ㄑㄧㄡ,,,,,非主條成語
3691,喘月吳牛,ㄔㄨㄢˇ　ㄩㄝˋ　ㄨˊ　ㄋㄧㄡˊ,,,,,非主條成語
3692,跳躍紙上,ㄊㄧㄠˋ　ㄩㄝˋ　ㄓˇ　ㄕㄤˋ,,,,,非主條成語
3693,喧客奪主,ㄒㄩㄢ　ㄎㄜˋ　ㄉㄨㄛˊ　ㄓㄨˇ,,,,,非主條成語
3694,題外生枝,ㄊㄧˊ　ㄨㄞˋ　ㄕㄥ　ㄓ,,,,,非主條成語
3695,喋喋不已,ㄉㄧㄝˊ　ㄉㄧㄝˊ　ㄅㄨˋ　ㄧˇ,,,,,非主條成語
3696,呼鹿為馬,ㄏㄨ　ㄌㄨˋ　ㄨㄟˊ　ㄇㄚˇ,,,,,非主條成語
3697,噤口不言,ㄐㄧㄣˋ　ㄎㄡˇ　ㄅㄨˋ　ㄧㄢˊ,,,,,非主條成語
3698,噤如秋蟬,ㄐㄧㄣˋ　ㄖㄨˊ　ㄑㄧㄡ　ㄔㄢˊ,,,,,非主條成語
3699,眈眈虎視,ㄉㄢ　ㄉㄢ　ㄏㄨˇ　ㄕˋ,,,,,非主條成語
3700,聽天所命,ㄊㄧㄥˋ　ㄊㄧㄢ　ㄙㄨㄛˇ　ㄇㄧㄥˋ,,,,,非主條成語
3701,瞋目張膽,ㄔㄣ　ㄇㄨˋ　ㄓㄤ　ㄉㄢˇ,,,,,非主條成語
3702,睫不得交,ㄐㄧㄝˊ　ㄅㄨˋ　ㄉㄜˊ　ㄐㄧㄠ,,,,,非主條成語
